<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDRUB,60,20191211,000000,63.4627000,63.5124000,63.4090000,63.4873000,17392
USDRUB,60,20191211,010000,63.4873000,63.5275000,63.3423000,63.4552000,6619
USDRUB,60,20191211,020000,63.4795000,63.5190000,63.4405000,63.4771000,2503
USDRUB,60,20191211,030000,63.4500000,63.5195000,63.4405000,63.5000000,7357
USDRUB,60,20191211,040000,63.5000000,63.5545000,63.4500000,63.5006000,2780
USDRUB,60,20191211,050000,63.5370000,63.5730000,63.4898000,63.5500000,2907
USDRUB,60,20191211,060000,63.5722000,63.6710000,63.5490000,63.5941000,610
USDRUB,60,20191211,070000,63.5949000,63.6180000,63.5600000,63.5959000,174
USDRUB,60,20191211,080000,63.5974000,63.6208000,63.5425000,63.5475000,702
USDRUB,60,20191211,090000,63.5400000,63.6030000,63.5270000,63.5475000,1344
USDRUB,60,20191211,100000,63.5644000,63.5740000,63.4450000,63.4961000,3587
USDRUB,60,20191211,110000,63.4961000,63.6011000,63.4250000,63.4920000,38931
USDRUB,60,20191211,120000,63.5423000,63.5820000,63.4865000,63.5168000,38456
USDRUB,60,20191211,130000,63.5168000,63.5859000,63.4574000,63.5105000,28843
USDRUB,60,20191211,140000,63.5125000,63.5488000,63.4533000,63.5300000,22615
USDRUB,60,20191211,150000,63.5289000,63.5846000,63.4730000,63.5763000,21638
USDRUB,60,20191211,160000,63.5763000,63.5801000,63.4925000,63.5480000,24899
USDRUB,60,20191211,170000,63.5480000,63.5664000,63.4600000,63.5461000,31917
USDRUB,60,20191211,180000,63.5470000,63.5728000,63.4790000,63.5198000,36919
USDRUB,60,20191211,190000,63.5416000,63.6200000,63.4864000,63.5624000,35022
USDRUB,60,20191211,200000,63.5609000,63.5814000,63.4750000,63.5160000,25076
USDRUB,60,20191211,210000,63.5670000,63.5829000,63.4666000,63.4780000,16380
USDRUB,60,20191211,220000,63.4779000,63.5500000,63.4455000,63.4900000,12644
USDRUB,60,20191211,230000,63.4675000,63.5404000,63.2540000,63.3013000,37460
USDRUB,60,20191212,000000,63.3019000,63.3301000,63.2065000,63.2590000,16043
USDRUB,60,20191212,010000,63.2518000,63.3440000,63.2200000,63.3076000,2028
USDRUB,60,20191212,020000,63.3701000,63.3701000,63.2720000,63.3009000,123
USDRUB,60,20191212,030000,63.2980000,63.3560000,63.2300000,63.2885000,522
USDRUB,60,20191212,040000,63.2887000,63.3590000,63.2689000,63.2728000,466
USDRUB,60,20191212,050000,63.3192000,63.3360000,63.2300000,63.2979000,247
USDRUB,60,20191212,060000,63.2809000,63.3440000,63.2092000,63.2460000,658
USDRUB,60,20191212,070000,63.2632000,63.3060000,63.2233000,63.2850000,701
USDRUB,60,20191212,080000,63.3013000,63.3280000,63.2300000,63.2553000,1397
USDRUB,60,20191212,090000,63.2300000,63.2780000,63.2166000,63.2300000,363
USDRUB,60,20191212,100000,63.2640000,63.2890000,63.1993000,63.2590000,2273
USDRUB,60,20191212,110000,63.2510000,63.2889000,63.1080000,63.2219000,40735
USDRUB,60,20191212,120000,63.2175000,63.2514000,63.1589000,63.2114000,36186
USDRUB,60,20191212,130000,63.2114000,63.2418000,63.1592000,63.1740000,28048
USDRUB,60,20191212,140000,63.2220000,63.2348000,63.1180000,63.1733000,28283
USDRUB,60,20191212,150000,63.1607000,63.1967000,63.1133000,63.1676000,22054
USDRUB,60,20191212,160000,63.1664000,63.1686000,62.9168000,62.9887000,39341
USDRUB,60,20191212,170000,62.9833000,63.0389000,62.8780000,63.0092000,51143
USDRUB,60,20191212,180000,63.0093000,63.0396000,62.7826000,62.7855000,49962
USDRUB,60,20191212,190000,62.8367000,62.8367000,62.6256000,62.7375000,52997
USDRUB,60,20191212,200000,62.7344000,62.8505000,62.6795000,62.7874000,31719
USDRUB,60,20191212,210000,62.7874000,62.8515000,62.7342000,62.8040000,23480
USDRUB,60,20191212,220000,62.7522000,62.8837000,62.7195000,62.8679000,21716
USDRUB,60,20191212,230000,62.8672000,62.9722000,62.8160000,62.8647000,27535
USDRUB,60,20191213,000000,62.8647000,62.8750000,62.7804000,62.8000000,15289
USDRUB,60,20191213,010000,62.8000000,63.0000000,62.6600000,62.7227000,3609
USDRUB,60,20191213,020000,62.7400000,62.7564000,62.6650000,62.7000000,1115
USDRUB,60,20191213,030000,62.7000000,62.7330000,62.6400000,62.6906000,1446
USDRUB,60,20191213,040000,62.6906000,62.7378000,62.6610000,62.7216000,1446
USDRUB,60,20191213,050000,62.7361000,62.7409000,62.6880000,62.6900000,447
USDRUB,60,20191213,060000,62.7368000,62.7382000,62.6900000,62.7227000,308
USDRUB,60,20191213,070000,62.7400000,62.7411000,62.6900000,62.6900000,393
USDRUB,60,20191213,080000,62.7404000,62.7510000,62.6450000,62.6807000,1665
USDRUB,60,20191213,090000,62.6700000,62.7450000,62.6550000,62.7207000,915
USDRUB,60,20191213,100000,62.7224000,62.7350000,62.6290000,62.6644000,2529
USDRUB,60,20191213,110000,62.6777000,62.7018000,62.4570000,62.4610000,50904
USDRUB,60,20191213,120000,62.5082000,62.5638000,62.4439000,62.5017000,48349
USDRUB,60,20191213,130000,62.5508000,62.5620000,62.2865000,62.3734000,52631
USDRUB,60,20191213,140000,62.3749000,62.3947000,62.1020000,62.1677000,54337
USDRUB,60,20191213,150000,62.1676000,62.4219000,62.1164000,62.4216000,48570
USDRUB,60,20191213,160000,62.4199000,62.6478000,62.3690000,62.5746000,49820
USDRUB,60,20191213,170000,62.5746000,62.6945000,62.4587000,62.6235000,94082
USDRUB,60,20191213,180000,62.6551000,62.9418000,62.6013000,62.7270000,119932
USDRUB,60,20191213,190000,62.7270000,62.9075000,62.4120000,62.8784000,47848
USDRUB,60,20191213,200000,62.9005000,62.9190000,62.7593000,62.7960000,38625
USDRUB,60,20191213,210000,62.7960000,62.9138000,62.7940000,62.8921000,20905
USDRUB,60,20191213,220000,62.8874000,62.9057000,62.8210000,62.8690000,19522
USDRUB,60,20191213,230000,62.8734000,62.8860000,62.8150000,62.8589000,21113
USDRUB,60,20191214,000000,62.8580000,62.8950000,62.8110000,62.8692000,8428
USDRUB,60,20191214,010000,62.8692000,62.8925000,62.7004000,62.8335000,1573
USDRUB,60,20191214,020000,62.8179000,62.8401000,62.8160000,62.8392000,11
USDRUB,60,20191215,230000,62.8100000,62.8290000,62.8019000,62.8019000,11
USDRUB,60,20191216,000000,62.8166000,62.8279000,62.8166000,62.8279000,6
USDRUB,60,20191216,010000,62.8240000,62.8716000,62.8025000,62.8025000,16
USDRUB,60,20191216,020000,62.8463000,62.9501000,62.7506000,62.7992000,434
USDRUB,60,20191216,030000,62.8314000,62.8500000,62.7770000,62.8052000,178
USDRUB,60,20191216,040000,62.8050000,62.8828000,62.7500000,62.7939000,1152
USDRUB,60,20191216,050000,62.7605000,62.8630000,62.7500000,62.7900000,1144
USDRUB,60,20191216,060000,62.7946000,62.8630000,62.7500000,62.8500000,1702
USDRUB,60,20191216,070000,62.8504000,62.8504000,62.6342000,62.7800000,1822
USDRUB,60,20191216,080000,62.8098000,62.8133000,62.7610000,62.7800000,1280
USDRUB,60,20191216,090000,62.7800000,62.8012000,62.7140000,62.7431000,1729
USDRUB,60,20191216,100000,62.7495000,62.8347000,62.7150000,62.7824000,3046
USDRUB,60,20191216,110000,62.7824000,62.8601000,62.6990000,62.7373000,39257
USDRUB,60,20191216,120000,62.7364000,62.7857000,62.5923000,62.7210000,48002
USDRUB,60,20191216,130000,62.7297000,62.7590000,62.6431000,62.6815000,38579
USDRUB,60,20191216,140000,62.7317000,62.7400000,62.5839000,62.6526000,33116
USDRUB,60,20191216,150000,62.6526000,62.6773000,62.5654000,62.5903000,33465
USDRUB,60,20191216,160000,62.6429000,62.6720000,62.5670000,62.6234000,34265
USDRUB,60,20191216,170000,62.6446000,62.6604000,62.4969000,62.5470000,39928
USDRUB,60,20191216,180000,62.5566000,62.5709000,62.3976000,62.4455000,56899
USDRUB,60,20191216,190000,62.4575000,62.4709000,62.3090000,62.4239000,66775
USDRUB,60,20191216,200000,62.3912000,62.4920000,62.3522000,62.4858000,35462
USDRUB,60,20191216,210000,62.4375000,62.4920000,62.3710000,62.4378000,16354
USDRUB,60,20191216,220000,62.4378000,62.4424000,62.3500000,62.3998000,15564
USDRUB,60,20191216,230000,62.3996000,62.4352000,62.3480000,62.4288000,10090
USDRUB,60,20191217,000000,62.4290000,62.4620000,62.3660000,62.4450000,5614
USDRUB,60,20191217,010000,62.4520000,62.4970000,62.4160000,62.4704000,823
USDRUB,60,20191217,020000,62.4874000,62.5539000,62.4240000,62.4796000,167
USDRUB,60,20191217,030000,62.4934000,62.5290000,62.4230000,62.4775000,113
USDRUB,60,20191217,040000,62.4941000,62.5320000,62.4700000,62.4900000,739
USDRUB,60,20191217,050000,62.4900000,62.6160000,62.4875000,62.5876000,1041
USDRUB,60,20191217,060000,62.5945000,62.5990000,62.5250000,62.5730000,280
USDRUB,60,20191217,070000,62.5942000,62.6300000,62.5698000,62.5983000,425
USDRUB,60,20191217,080000,62.6129000,62.6402000,62.5875000,62.6100000,628
USDRUB,60,20191217,090000,62.5925000,62.6620000,62.5730000,62.6208000,837
USDRUB,60,20191217,100000,62.6383000,62.6440000,62.5440000,62.6041000,2502
USDRUB,60,20191217,110000,62.6041000,62.6220000,62.4123000,62.5189000,48379
USDRUB,60,20191217,120000,62.5229000,62.5824000,62.4658000,62.5388000,38679
USDRUB,60,20191217,130000,62.5385000,62.7415000,62.4849000,62.6286000,52523
USDRUB,60,20191217,140000,62.6286000,62.6956000,62.5410000,62.6277000,37274
USDRUB,60,20191217,150000,62.6469000,62.6886000,62.5486000,62.6007000,33171
USDRUB,60,20191217,160000,62.5950000,62.6544000,62.5338000,62.6270000,31464
USDRUB,60,20191217,170000,62.5793000,62.6355000,62.5080000,62.5889000,39083
USDRUB,60,20191217,180000,62.5890000,62.5993000,62.4441000,62.5027000,40581
USDRUB,60,20191217,190000,62.5036000,62.5041000,62.3299000,62.4147000,37978
USDRUB,60,20191217,200000,62.4133000,62.4340000,62.2820000,62.4199000,31821
USDRUB,60,20191217,210000,62.4174000,62.4450000,62.3060000,62.3997000,19681
USDRUB,60,20191217,220000,62.4149000,62.4277000,62.3660000,62.4234000,999
